41289914,12552653,-7638886,70344373
55620527,-29131587,68797069,72087685
82832375,47630096,38482368,69090064
130899833,15829942,42945404,84320347
53888472,25619539,38243465,61534492
10730495,21193624,40653500,51271133
10375354,11144613,6303258,88724728
58656117,-16392327,88048017,81635036
85595783,7749385,26904900,63137409
55072518,-2342593,14439497,55171476
75083524,16465866,96895150,74051517
111208655,15806695,34437911,73160039
44492414,-38825023,64434634,81658017
98122331,21678,28295258,82001262
90297476,11823326,31873490,58796515
-18728534,5587631,50377111,86408670
83507493,-32017884,44626498,83095363
77781544,72521271,64968475,98723349
22303792,-9201905,21981105,81465695
20480808,-952598,43992908,53026987
102483634,1462589,30521724,82695194
62602931,-6968520,17638034,64129343
-22947955,8393317,50888111,88333797
95166493,15453123,41154437,50754844
-11518016,12189521,49220230,71439435
44038205,-42072723,20870970,93711527
80225349,-5559529,52691569,57015210
85281405,-21388004,70747376,95955674
130340005,15812486,32267356,94456018
53374619,18810042,14493308,82165558
64370732,-24928059,43392466,58102180
57004070,-13764307,24124561,58839849
2026310,14401753,38884405,61235589
97453486,21851808,21141484,75273217
98787268,13601102,13489455,83893012
62663832,-27938670,19254030,83544328
115291268,13372196,43160194,70954742
73094279,-2967765,18906866,69351367
75382128,-6525581,30552168,63551402
74556466,3567702,32084465,51100238
42516384,19972147,45786568,54489582
88169824,-9606297,81815854,98130608
66300924,-52369725,33108087,97758486
198614639,-23783595,30638031,60544508
9857131,-6324955,26350438,86665547
22006885,-7359339,81426807,89669857
57289735,-3111875,-15082640,87680244
59858396,7717797,-14310862,78647321
50832987,7413339,91025780,55670168
115142844,16356587,28000589,82981523
128741091,12373965,33414631,95148355
39524293,-50460514,32411208,95073130
110966944,5675815,41940598,75546408
5130807,-6547272,30939303,87025147
-21349092,20056589,31257525,91609814
240129087,2603408,52816956,92503467
111903718,33361641,38055449,84319488
22453958,3439757,33445622,57208637
44372190,-27870042,61305673,67694177
71725183,13437532,90842500,67668976
107496906,556569,67558221,93037287
71659874,-28246770,37993938,74108896
79643778,25670236,71637665,60403877
74619577,13767190,73979770,53371475
117265695,13975206,33937541,81548926
71056366,2678446,5274452,75299338
45124455,53757735,30537527,59557273
57496152,-861183,15437162,55116047
44936694,-21786887,23207116,70191134
